,datetime,tempmax,year,10_year_rolling_avg
43,2023-12-31 00:00:00,32.94444444444444,2023,34.39
44,2024-12-31 00:00:00,28.72222222222222,2024,34.02
10,2024-12-31 00:00:00+00:00,32.49046681984088,2024,32.65
11,2025-12-31 00:00:00+00:00,32.67768443935434,2025,32.51
12,2026-12-31 00:00:00+00:00,28.983740212543864,2026,32.13
13,2027-12-31 00:00:00+00:00,31.988056187431596,2027,32.15
14,2028-12-31 00:00:00+00:00,32.1403881181645,2028,32.04
15,2029-12-31 00:00:00+00:00,33.48385136142906,2029,32.42
16,2030-12-31 00:00:00+00:00,35.167478436744595,2030,32.83
17,2031-12-31 00:00:00+00:00,33.98968929445122,2031,32.95
18,2032-12-31 00:00:00+00:00,29.36899315821937,2032,32.46
19,2033-12-31 00:00:00+00:00,34.32883544899994,2033,32.46
20,2034-12-31 00:00:00+00:00,31.155410589362653,2034,32.33
21,2035-12-31 00:00:00+00:00,34.02608335079534,2035,32.46
22,2036-12-31 00:00:00+00:00,33.57705215878544,2036,32.92
23,2037-12-31 00:00:00+00:00,31.642473339197664,2037,32.89
24,2038-12-31 00:00:00+00:00,32.68360532532797,2038,32.94
25,2039-12-31 00:00:00+00:00,32.07173077060733,2039,32.8
26,2040-12-31 00:00:00+00:00,32.33044118513912,2040,32.52
27,2041-12-31 00:00:00+00:00,30.114308734817296,2041,32.13
28,2042-12-31 00:00:00+00:00,33.48702871349069,2042,32.54
29,2043-12-31 00:00:00+00:00,30.444716595170576,2043,32.15
30,2044-12-31 00:00:00+00:00,30.399810067267715,2044,32.08
31,2045-12-31 00:00:00+00:00,32.110627136506714,2045,31.89
32,2046-12-31 00:00:00+00:00,33.6741230243587,2046,31.9
33,2047-12-31 00:00:00+00:00,33.78842983729382,2047,32.11
34,2048-12-31 00:00:00+00:00,32.451578560140305,2048,32.09
35,2049-12-31 00:00:00+00:00,36.492079795826385,2049,32.53
36,2050-12-31 00:00:00+00:00,35.23458711731334,2050,32.82
37,2051-12-31 00:00:00+00:00,30.058043718285845,2051,32.81
38,2052-12-31 00:00:00+00:00,33.4702045338821,2052,32.81
39,2053-12-31 00:00:00+00:00,35.1554754192755,2053,33.28
40,2054-12-31 00:00:00+00:00,33.61462046483416,2054,33.6
41,2055-12-31 00:00:00+00:00,33.69392256289332,2055,33.76
42,2056-12-31 00:00:00+00:00,32.93669810527081,2056,33.69
43,2057-12-31 00:00:00+00:00,32.88467847859867,2057,33.6
44,2058-12-31 00:00:00+00:00,34.36288123904498,2058,33.79
45,2059-12-31 00:00:00+00:00,33.07730434350251,2059,33.45
46,2060-12-31 00:00:00+00:00,36.774277295257555,2060,33.6
47,2061-12-31 00:00:00+00:00,33.353959383892786,2061,33.93
48,2062-12-31 00:00:00+00:00,34.79502835982858,2062,34.06
49,2063-12-31 00:00:00+00:00,32.27085755477677,2063,33.78
50,2064-12-31 00:00:00+00:00,35.00292991645454,2064,33.92
51,2065-12-31 00:00:00+00:00,33.83262114091443,2065,33.93
52,2066-12-31 00:00:00+00:00,36.03425110740901,2066,34.24
53,2067-12-31 00:00:00+00:00,34.65775714676615,2067,34.42
54,2068-12-31 00:00:00+00:00,35.27704221495885,2068,34.51
55,2069-12-31 00:00:00+00:00,35.94643533839119,2069,34.79
56,2070-12-31 00:00:00+00:00,33.63428704411334,2070,34.48
57,2071-12-31 00:00:00+00:00,42.98030905194281,2071,35.44
58,2072-12-31 00:00:00+00:00,32.165098789002286,2072,35.18
59,2073-12-31 00:00:00+00:00,35.19166595454075,2073,35.47
60,2074-12-31 00:00:00+00:00,35.26516447431928,2074,35.5
61,2075-12-31 00:00:00+00:00,31.057678631897964,2075,35.22
62,2076-12-31 00:00:00+00:00,36.61040828303575,2076,35.28
63,2077-12-31 00:00:00+00:00,33.894361841348285,2077,35.2
64,2078-12-31 00:00:00+00:00,39.47528092595573,2078,35.62
65,2079-12-31 00:00:00+00:00,34.214794527758,2079,35.45
66,2080-12-31 00:00:00+00:00,27.11293947392489,2080,34.8
